year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage
1965,7,683,2091,177582,60000,239673,198000
1966,11,2752,4389,322600,49256,376245,356100
1967,10,1013,4849,441640,100690,547179,79000
1968,14,10858,5953,162974,4000,172927,468569
1969,8,3353,2244,252000,85420,339664,55320
1970,11,78599,146685,3241581,27992,3416258,601750
1971,5,1107,2751,2412642,27465,2442858,818000
1972,5,15170,21332,1922576,375000,2318908,866000
1973,4,552,162,3563,84,3809,650
1974,4,24808,17487,71260,5200,93947,13255
1975,4,12632,3372,50000,,53372,17000
1976,20,276994,268901,4748472,1374000,6391373,10643000
1977,14,3098,12981,690026,215500,918507,2082500
1978,9,25162,926,646873,2700,650499,1315000
1979,25,2100,6526,409000,33100,448626,535225
1980,24,7730,23142,1134398,478000,1635540,25450000
1981,17,4206,7455,150813,,158268,1910000
1982,18,2120,5044,494950,9500,509494,2045950
1983,25,2148,7686,921125,71455,1000266,969377
1984,13,57,811,757550,34300,792661,49000
1985,22,9853,33825,3055793,619865,3709483,5608000
1986,21,1181,21260,820200,266940,1108400,3009220
1987,19,5160,607,264239,163000,427846,1936625
1988,18,27049,20482,22469690,799250,23289422,14401500
1989,19,650,5269,147790,200565,353624,6870800
1990,43,42853,113416,2298174,185006,2596596,9197450
1991,29,2454,6260,721445,250110,977815,1921500
1992,25,4033,17371,493137,257808,768316,2664150
1993,20,10088,31609,145683,47980,225272,1770500
1994,25,1242,12988,717725,61232,791945,30422676
1995,26,7739,38722,1526697,375136,1940555,101285800
1996,13,576,18686,3581480,1890015,5490181,572400
1997,23,3159,10453,938005,348545,1297003,4958343
1998,30,9573,20219,3414234,243410,3677863,1220100
1999,33,21869,71604,5366491,1418748,6856843,41712293
2000,30,217,6852,2094478,377229,2478559,774903
2001,25,21348,179663,7288605,2243015,9711283,7363050
2002,37,1639,4756,786413,58534,849703,2067714
2003,40,29617,43327,3505826,645314,4194467,8252851
2004,42,227290,48720,1921278,1177207,3147205,38770000
2005,25,76241,146904,888860,5151700,6187464,6705100
2006,24,6692,140437,2873412,844990,3858839,3431453
2007,21,780,6103,1289448,86833,1382384,14972000
2008,23,87918,370939,46724393,417140,47512472,85796000
2009,22,1893,6387,3085775,128960,3221122,6033160
2010,24,226733,323981,5700795,912204,6936980,47300660
2011,30,20946,13203,1531579,202752,1747534,230299850
2012,27,711,41776,2789144,29002,2859922,18536314
2013,29,1120,21568,7081667,14540,7117775,9112859
2014,26,774,5832,3139306,24070,3169208,7174000
2015,23,9550,81865,6951591,195230,7228686,6027850
2016,27,1301,235350,1811487,24621,2071458,27684500
